"","trap_id","zone","zone2","trap_date","year","week","spp","spp0","method","trap_status","total"
"1","FC-001","SW","FC",2025-06-05,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"2","FC-029","SE","FC",2025-06-05,2025,23,"other spp","Aedes vexans","L","other spp",3
"3","FC-029","SE","FC",2025-06-05,2025,23,"other spp","Aedes dorsalis","L","other spp",1
"4","FC-029GR","SE","FC",2025-06-05,2025,23,"Pipiens","Culex pipiens","G","culex",2
"5","FC-037","SW","FC",2025-06-05,2025,23,"other spp","Aedes increpitus","L","other spp",2
"6","FC-037","SW","FC",2025-06-05,2025,23,"other spp","Aedes vexans","L","other spp",37
"7","FC-054","SE","FC",2025-06-05,2025,23,"other spp","Aedes vexans","L","culex",93
"8","FC-054","SE","FC",2025-06-05,2025,23,"Tarsalis","Culex tarsalis","L","culex",2
"9","FC-054","SE","FC",2025-06-05,2025,23,"other spp","Aedes dorsalis","L","culex",3
"10","FC-057","SW","FC",2025-06-05,2025,23,"Tarsalis","Culex tarsalis","L","culex",1
"11","FC-057","SW","FC",2025-06-05,2025,23,"other spp","Aedes dorsalis","L","culex",2
"12","FC-057","SW","FC",2025-06-05,2025,23,"other spp","Aedes vexans","L","culex",1
"13","FC-062","SW","FC",2025-06-05,2025,23,"Pipiens","Culex pipiens","L","culex",2
"14","FC-062","SW","FC",2025-06-05,2025,23,"other spp","Aedes vexans","L","culex",16
"15","FC-068","SW","FC",2025-06-05,2025,23,"other spp","Aedes vexans","L","other spp",3
"16","FC-068","SW","FC",2025-06-05,2025,23,"other spp","Aedes dorsalis","L","other spp",2
"17","FC-071","SW","FC",2025-06-05,2025,23,"Pipiens","Culex pipiens","L","culex",1
"18","FC-071","SW","FC",2025-06-05,2025,23,"other spp","Aedes vexans","L","culex",18
"19","FC-071","SW","FC",2025-06-05,2025,23,"Tarsalis","Culex tarsalis","L","culex",1
"20","FC-089GR","SW","FC",2025-06-05,2025,23,"none","No Mosquitoes","G","no mosquitoes",0
"21","FC-093","SW","FC",2025-06-05,2025,23,"other spp","Aedes vexans","L","culex",28
"22","FC-093","SW","FC",2025-06-05,2025,23,"Pipiens","Culex pipiens","L","culex",1
"23","LV-010GR","LV","LV",2025-06-05,2025,23,"Pipiens","Culex pipiens","G","culex",3
"24","LV-010GR","LV","LV",2025-06-05,2025,23,"Tarsalis","Culex tarsalis","G","culex",1
"25","LV-014","LV","LV",2025-06-05,2025,23,"Pipiens","Culex pipiens","L","culex",1
"26","LV-014","LV","LV",2025-06-05,2025,23,"Tarsalis","Culex tarsalis","L","culex",1
"27","LV-097","LV","LV",2025-06-05,2025,23,"other spp","Aedes vexans","L","other spp",1
"28","LV-097","LV","LV",2025-06-05,2025,23,"other spp","Aedes increpitus","L","other spp",19
"29","LV-098","LV","LV",2025-06-05,2025,23,"other spp","Aedes vexans","L","culex",1
"30","LV-098","LV","LV",2025-06-05,2025,23,"other spp","Aedes increpitus","L","culex",5
"31","LV-098","LV","LV",2025-06-05,2025,23,"other spp","Anopheles freeborni","L","culex",1
"32","LV-098","LV","LV",2025-06-05,2025,23,"Pipiens","Culex pipiens","L","culex",1
"33","LV-098","LV","LV",2025-06-05,2025,23,"Tarsalis","Culex tarsalis","L","culex",1
"34","LV-099","LV","LV",2025-06-05,2025,23,"other spp","Aedes vexans","L","other spp",1
"35","LV-102","LV","LV",2025-06-05,2025,23,"other spp","Aedes vexans","L","culex",1
"36","LV-102","LV","LV",2025-06-05,2025,23,"Pipiens","Culex pipiens","L","culex",1
"37","LV-105","LV","LV",2025-06-05,2025,23,"other spp","Aedes dorsalis","L","other spp",1
"38","LV-121","LV","LV",2025-06-05,2025,23,"Pipiens","Culex pipiens","L","culex",1
"39","LV-122","LV","LV",2025-06-05,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"40","FC-011","NW","FC",2025-06-04,2025,23,"other spp","Aedes vexans","L","other spp",2
"41","FC-015","NW","FC",2025-06-04,2025,23,"other spp","Aedes vexans","L","other spp",5
"42","FC-015","NW","FC",2025-06-04,2025,23,"other spp","Culiseta inornata","L","other spp",1
"43","FC-041","NW","FC",2025-06-04,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"44","FC-049","SW","FC",2025-06-04,2025,23,"Pipiens","Culex pipiens","L","culex",1
"45","FC-049","SW","FC",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",1
"46","FC-049","SW","FC",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",5
"47","FC-049","SW","FC",2025-06-04,2025,23,"other spp","Aedes dorsalis","L","culex",1
"48","FC-052","NW","FC",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",70
"49","FC-052","NW","FC",2025-06-04,2025,23,"other spp","Aedes increpitus","L","culex",1
"50","FC-052","NW","FC",2025-06-04,2025,23,"Pipiens","Culex pipiens","L","culex",6
"51","FC-052","NW","FC",2025-06-04,2025,23,"other spp","Aedes flavescens","L","culex",1
"52","FC-058","SW","FC",2025-06-04,2025,23,"other spp","Aedes vexans","L","other spp",29
"53","FC-058","SW","FC",2025-06-04,2025,23,"other spp","Aedes increpitus","L","other spp",6
"54","FC-060","NW","FC",2025-06-04,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"55","FC-061","NW","FC",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",2
"56","FC-061","NW","FC",2025-06-04,2025,23,"Pipiens","Culex pipiens","L","culex",4
"57","FC-061","NW","FC",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",18
"58","FC-063","NW","FC",2025-06-04,2025,23,"other spp","Aedes increpitus","L","culex",4
"59","FC-063","NW","FC",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",83
"60","FC-063","NW","FC",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",1
"61","FC-063","NW","FC",2025-06-04,2025,23,"other spp","Aedes melanimon","L","culex",1
"62","FC-063GR","NW","FC",2025-06-04,2025,23,"other spp","Aedes vexans","G","other spp",1
"63","FC-073","NW","FC",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",1
"64","FC-090GR","NW","FC",2025-06-04,2025,23,"none","No Mosquitoes","G","no mosquitoes",0
"65","LC-001","BE","BE",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",2
"66","LC-049","BE","BE",2025-06-04,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"67","LC-053","BE","BE",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",16
"68","LC-053","BE","BE",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",2
"69","LC-054","BE","BE",2025-06-04,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"70","LC-058","BE","BE",2025-06-04,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"71","LC-059","BE","BE",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",4
"72","LC-059","BE","BE",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",3
"73","LC-060","BE","BE",2025-06-04,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"74","LC-061","BE","BE",2025-06-04,2025,23,"other spp","Anopheles freeborni","L","culex",4
"75","LC-061","BE","BE",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",10
"76","LC-062","BE","BE",2025-06-04,2025,23,"other spp","Aedes increpitus","L","other spp",5
"77","LC-062","BE","BE",2025-06-04,2025,23,"other spp","Aedes vexans","L","other spp",7
"78","LC-062","BE","BE",2025-06-04,2025,23,"other spp","Aedes melanimon","L","other spp",25
"79","LV-019","LV","LV",2025-06-04,2025,23,"other spp","Aedes vexans","L","other spp",9
"80","LV-019","LV","LV",2025-06-04,2025,23,"other spp","Aedes increpitus","L","other spp",2
"81","LV-019","LV","LV",2025-06-04,2025,23,"other spp","Culiseta inornata","L","other spp",1
"82","LV-020","LV","LV",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",2
"83","LV-020","LV","LV",2025-06-04,2025,23,"other spp","Aedes increpitus","L","culex",16
"84","LV-020","LV","LV",2025-06-04,2025,23,"other spp","Aedes melanimon","L","culex",2
"85","LV-020","LV","LV",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",11
"86","LV-021","LV","LV",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",1
"87","LV-021","LV","LV",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",1
"88","LV-042","LV","LV",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",2
"89","LV-042","LV","LV",2025-06-04,2025,23,"Pipiens","Culex pipiens","L","culex",1
"90","LV-067","LV","LV",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",4
"91","LV-067","LV","LV",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",13
"92","LV-067","LV","LV",2025-06-04,2025,23,"other spp","Aedes increpitus","L","culex",32
"93","LV-087","LV","LV",2025-06-04,2025,23,"other spp","Aedes increpitus","L","culex",1
"94","LV-087","LV","LV",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",3
"95","LV-087","LV","LV",2025-06-04,2025,23,"Pipiens","Culex pipiens","L","culex",1
"96","LV-087","LV","LV",2025-06-04,2025,23,"other spp","Culiseta inornata","L","culex",1
"97","LV-087","LV","LV",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",8
"98","LV-114","LV","LV",2025-06-04,2025,23,"other spp","Aedes trivittatus","L","culex",1
"99","LV-114","LV","LV",2025-06-04,2025,23,"Tarsalis","Culex tarsalis","L","culex",2
"100","LV-114","LV","LV",2025-06-04,2025,23,"other spp","Aedes increpitus","L","culex",31
"101","LV-114","LV","LV",2025-06-04,2025,23,"other spp","Aedes cinereus","L","culex",1
"102","LV-114","LV","LV",2025-06-04,2025,23,"other spp","Aedes vexans","L","culex",25
"103","LV-120","LV","LV",2025-06-04,2025,23,"other spp","Aedes flavescens","L","other spp",3
"104","LV-120","LV","LV",2025-06-04,2025,23,"other spp","Aedes increpitus","L","other spp",1
"105","LV-120","LV","LV",2025-06-04,2025,23,"other spp","Aedes vexans","L","other spp",8
"106","LV-120","LV","LV",2025-06-04,2025,23,"other spp","Anopheles freeborni","L","other spp",4
"107","WC-055","BE","BE",2025-06-04,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"108","FC-004","SE","FC",2025-06-03,2025,23,"Tarsalis","Culex tarsalis","L","culex",2
"109","FC-023","SE","FC",2025-06-03,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"110","FC-027","SE","FC",2025-06-03,2025,23,"other spp","Aedes increpitus","L","culex",5
"111","FC-027","SE","FC",2025-06-03,2025,23,"Tarsalis","Culex tarsalis","L","culex",3
"112","FC-027","SE","FC",2025-06-03,2025,23,"other spp","Aedes vexans","L","culex",1
"113","FC-031","SE","FC",2025-06-03,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"114","FC-039","SE","FC",2025-06-03,2025,23,"other spp","Aedes dorsalis","L","other spp",2
"115","FC-039","SE","FC",2025-06-03,2025,23,"other spp","Culiseta inornata","L","other spp",1
"116","FC-046","SE","FC",2025-06-03,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"117","FC-047","SE","FC",2025-06-03,2025,23,"other spp","Aedes vexans","L","other spp",1
"118","FC-050","SE","FC",2025-06-03,2025,23,"Pipiens","Culex pipiens","L","culex",1
"119","FC-053","SE","FC",2025-06-03,2025,23,"other spp","Aedes vexans","L","other spp",1
"120","FC-059","SE","FC",2025-06-03,2025,23,"Pipiens","Culex pipiens","L","culex",1
"121","FC-059","SE","FC",2025-06-03,2025,23,"other spp","Aedes vexans","L","culex",1
"122","FC-064","SE","FC",2025-06-03,2025,23,"Tarsalis","Culex tarsalis","L","culex",5
"123","FC-064","SE","FC",2025-06-03,2025,23,"other spp","Aedes vexans","L","culex",23
"124","FC-074","SE","FC",2025-06-03,2025,23,"other spp","Aedes dorsalis","L","other spp",1
"125","FC-075","SE","FC",2025-06-03,2025,23,"Tarsalis","Culex tarsalis","L","culex",1
"126","FC-075","SE","FC",2025-06-03,2025,23,"other spp","Aedes vexans","L","culex",1
"127","FC-075GR","SE","FC",2025-06-03,2025,23,"Pipiens","Culex pipiens","G","culex",2
"128","FC-088GR","SE","FC",2025-06-03,2025,23,"Pipiens","Culex pipiens","G","culex",1
"129","LV-074","LV","LV",2025-06-03,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"130","LV-074GR","LV","LV",2025-06-03,2025,23,"Pipiens","Culex pipiens","G","culex",1
"131","LV-077","LV","LV",2025-06-03,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"132","LV-089","LV","LV",2025-06-03,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"133","LV-100","LV","LV",2025-06-03,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"134","LV-104","LV","LV",2025-06-03,2025,23,"Tarsalis","Culex tarsalis","L","culex",2
"135","LV-104","LV","LV",2025-06-03,2025,23,"other spp","Culiseta inornata","L","culex",2
"136","LV-104","LV","LV",2025-06-03,2025,23,"other spp","Anopheles freeborni","L","culex",4
"137","LV-104","LV","LV",2025-06-03,2025,23,"other spp","Aedes vexans","L","culex",3
"138","LV-110","LV","LV",2025-06-03,2025,23,"other spp","Aedes increpitus","L","other spp",2
"139","LV-112","LV","LV",2025-06-03,2025,23,"other spp","Aedes vexans","L","other spp",1
"140","LV-113","LV","LV",2025-06-03,2025,23,"other spp","Aedes increpitus","L","other spp",1
"141","LV-113","LV","LV",2025-06-03,2025,23,"other spp","Aedes vexans","L","other spp",174
"142","LV-113","LV","LV",2025-06-03,2025,23,"other spp","Culiseta inornata","L","other spp",1
"143","LV-113","LV","LV",2025-06-03,2025,23,"other spp","Aedes melanimon","L","other spp",1
"144","LV-118","LV","LV",2025-06-03,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"145","LV-124","LV","LV",2025-06-03,2025,23,"none","No Mosquitoes","L","no mosquitoes",0
"146","LV-125","LV","LV",2025-06-03,2025,23,"other spp","Aedes vexans","L","culex",2
"147","LV-125","LV","LV",2025-06-03,2025,23,"Tarsalis","Culex tarsalis","L","culex",2
"148","LV-125","LV","LV",2025-06-03,2025,23,"Pipiens","Culex pipiens","L","culex",1
"149","FC-006","NE","FC",2025-06-02,2025,23,"other spp","Aedes vexans","L","other spp",7
"150","FC-006","NE","FC",2025-06-02,2025,23,"other spp","Aedes increpitus","L","other spp",4
"151","FC-014","NE","FC",2025-06-02,2025,23,"other spp","Aedes increpitus","L","culex",40
"152","FC-014","NE","FC",2025-06-02,2025,23,"other spp","Aedes dorsalis","L","culex",9
"153","FC-014","NE","FC",2025-06-02,2025,23,"Tarsalis","Culex tarsalis","L","culex",12
"154","FC-014","NE","FC",2025-06-02,2025,23,"other spp","Anopheles freeborni","L","culex",1
"155","FC-014","NE","FC",2025-06-02,2025,23,"other spp","Aedes vexans","L","culex",1
"156","FC-019","NE","FC",2025-06-02,2025,23,"other spp","Aedes vexans","L","other spp",2
"157","FC-019","NE","FC",2025-06-02,2025,23,"other spp","Aedes increpitus","L","other spp",17
"158","FC-034","NE","FC",2025-06-02,2025,23,"Tarsalis","Culex tarsalis","L","culex",7
"159","FC-034","NE","FC",2025-06-02,2025,23,"other spp","Aedes vexans","L","culex",8
"160","FC-036","NW","FC",2025-06-02,2025,23,"other spp","Aedes increpitus","L","culex",7
"161","FC-036","NW","FC",2025-06-02,2025,23,"other spp","Anopheles freeborni","L","culex",2
"162","FC-036","NW","FC",2025-06-02,2025,23,"other spp","Aedes dorsalis","L","culex",2
"163","FC-036","NW","FC",2025-06-02,2025,23,"other spp","Aedes vexans","L","culex",5
"164","FC-036","NW","FC",2025-06-02,2025,23,"Tarsalis","Culex tarsalis","L","culex",3
"165","FC-038","NE","FC",2025-06-02,2025,23,"other spp","Aedes dorsalis","L","culex",4
"166","FC-038","NE","FC",2025-06-02,2025,23,"other spp","Aedes vexans","L","culex",6
"167","FC-038","NE","FC",2025-06-02,2025,23,"other spp","Aedes melanimon","L","culex",1
"168","FC-038","NE","FC",2025-06-02,2025,23,"other spp","Aedes increpitus","L","culex",2
"169","FC-038","NE","FC",2025-06-02,2025,23,"Tarsalis","Culex tarsalis","L","culex",3
"170","FC-038","NE","FC",2025-06-02,2025,23,"Pipiens","Culex pipiens","L","culex",2
"171","FC-040","NE","FC",2025-06-02,2025,23,"other spp","Aedes vexans","L","culex",3
"172","FC-040","NE","FC",2025-06-02,2025,23,"other spp","Aedes dorsalis","L","culex",1
"173","FC-040","NE","FC",2025-06-02,2025,23,"Tarsalis","Culex tarsalis","L","culex",7
"174","FC-040GR","NE","FC",2025-06-02,2025,23,"other spp","Aedes vexans","G","other spp",1
"175","FC-066","NE","FC",2025-06-02,2025,23,"other spp","Aedes increpitus","L","culex",57
"176","FC-066","NE","FC",2025-06-02,2025,23,"other spp","Aedes vexans","L","culex",6
