"","year","week","zone","spp","type","est","value"
"1",2024,37,"NW","Pipiens","hx","abund",3.8
"2",2024,37,"NW","Pipiens","hx","vi",0.05
"3",2024,37,"NW","Pipiens","hx","pir",0.0141
"4",2024,37,"NW","Tarsalis","hx","abund",0.5556
"5",2024,37,"NW","Tarsalis","hx","vi",0
"6",2024,37,"NW","Tarsalis","hx","pir",0
"7",2024,37,"NW","All","hx","abund",4.3
"8",2024,37,"NW","All","hx","vi",0.06
"9",2024,37,"NW","All","hx","pir",0.0137
"10",2024,37,"NE","Pipiens","hx","abund",11.1
"11",2024,37,"NE","Pipiens","hx","vi",0.07
"12",2024,37,"NE","Pipiens","hx","pir",0.0059
"13",2024,37,"NE","Tarsalis","hx","abund",2.5
"14",2024,37,"NE","Tarsalis","hx","vi",0
"15",2024,37,"NE","Tarsalis","hx","pir",0
"16",2024,37,"NE","All","hx","abund",13.6
"17",2024,37,"NE","All","hx","vi",0.07
"18",2024,37,"NE","All","hx","pir",0.0053
"19",2024,37,"SE","Pipiens","hx","abund",2.6
"20",2024,37,"SE","Pipiens","hx","vi",0
"21",2024,37,"SE","Pipiens","hx","pir",0
"22",2024,37,"SE","Tarsalis","hx","abund",2.0667
"23",2024,37,"SE","Tarsalis","hx","vi",0
"24",2024,37,"SE","Tarsalis","hx","pir",0
"25",2024,37,"SE","All","hx","abund",4.6667
"26",2024,37,"SE","All","hx","vi",0
"27",2024,37,"SE","All","hx","pir",0
"28",2024,37,"SW","Pipiens","hx","abund",1
"29",2024,37,"SW","Pipiens","hx","vi",0
"30",2024,37,"SW","Pipiens","hx","pir",0
"31",2024,37,"SW","Tarsalis","hx","abund",0.7
"32",2024,37,"SW","Tarsalis","hx","vi",0
"33",2024,37,"SW","Tarsalis","hx","pir",0
"34",2024,37,"SW","All","hx","abund",1.7
"35",2024,37,"SW","All","hx","vi",0
"36",2024,37,"SW","All","hx","pir",0
"37",2024,37,"FC","Pipiens","hx","abund",4.6047
"38",2024,37,"FC","Pipiens","hx","vi",0.03
"39",2024,37,"FC","Pipiens","hx","pir",0.0058
"40",2024,37,"FC","Tarsalis","hx","abund",1.5814
"41",2024,37,"FC","Tarsalis","hx","vi",0
