"key","trap_id","zone","zone2","method","year","week","spp","trap_date","trap_status","total","source"
"BC01|Pipiens|2021|23","BC-01","BC","BC","L",2021,23,"Pipiens",NA,"no trap",NA,NA
"BC01|Tarsalis|2021|23","BC-01","BC","BC","L",2021,23,"Tarsalis",NA,"no trap",NA,NA
"BC01|Pipiens|2021|24","BC-01","BC","BC","L",2021,24,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|24","BC-01","BC","BC","L",2021,24,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|25","BC-01","BC","BC","L",2021,25,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|25","BC-01","BC","BC","L",2021,25,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|26","BC-01","BC","BC","L",2021,26,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|26","BC-01","BC","BC","L",2021,26,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|27","BC-01","BC","BC","L",2021,27,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|27","BC-01","BC","BC","L",2021,27,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|28","BC-01","BC","BC","L",2021,28,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|28","BC-01","BC","BC","L",2021,28,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|29","BC-01","BC","BC","L",2021,29,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|29","BC-01","BC","BC","L",2021,29,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|30","BC-01","BC","BC","L",2021,30,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|30","BC-01","BC","BC","L",2021,30,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|31","BC-01","BC","BC","L",2021,31,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|31","BC-01","BC","BC","L",2021,31,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|32","BC-01","BC","BC","L",2021,32,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|32","BC-01","BC","BC","L",2021,32,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|33","BC-01","BC","BC","L",2021,33,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|33","BC-01","BC","BC","L",2021,33,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|34","BC-01","BC","BC","L",2021,34,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|34","BC-01","BC","BC","L",2021,34,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|35","BC-01","BC","BC","L",2021,35,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|35","BC-01","BC","BC","L",2021,35,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|36","BC-01","BC","BC","L",2021,36,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2021|36","BC-01","BC","BC","L",2021,36,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2021|37","BC-01","BC","BC","L",2021,37,"Pipiens",NA,"no trap",NA,NA
"BC01|Tarsalis|2021|37","BC-01","BC","BC","L",2021,37,"Tarsalis",NA,"no trap",NA,NA
"BC01|Pipiens|2022|23","BC-01","BC","BC","L",2022,23,"Pipiens",NA,"no trap",NA,NA
"BC01|Tarsalis|2022|23","BC-01","BC","BC","L",2022,23,"Tarsalis",NA,"no trap",NA,NA
"BC01|Pipiens|2022|24","BC-01","BC","BC","L",2022,24,"Pipiens",2022-06-13,"culex",0,"bc"
"BC01|Tarsalis|2022|24","BC-01","BC","BC","L",2022,24,"Tarsalis",2022-06-13,"culex",18,"bc"
"BC01|Pipiens|2022|25","BC-01","BC","BC","L",2022,25,"Pipiens",2022-06-20,"culex",0,"bc"
"BC01|Tarsalis|2022|25","BC-01","BC","BC","L",2022,25,"Tarsalis",2022-06-20,"culex",30,"bc"
"BC01|Pipiens|2022|26","BC-01","BC","BC","L",2022,26,"Pipiens",NA,"no mosquitoes",0,NA
"BC01|Tarsalis|2022|26","BC-01","BC","BC","L",2022,26,"Tarsalis",NA,"no mosquitoes",0,NA
"BC01|Pipiens|2022|27","BC-01","BC","BC","L",2022,27,"Pipiens",NA,"no mosquitoes",0,NA
